family,task,metric,protocol,model,value,std,ci_low,ci_high,skill,skill_ci_low,skill_ci_high,n_runs,n,baseline,higher_is_better,unit
classification,mode/linear_probe@0.2,accuracy,linear_probe,KinematicRef,0.7462686567164178,0.010553832555023011,0.6640858208955225,0.8134328358208955,0.07279411764705866,-0.2029944960440316,0.2960657015618242,2,134,handcrafted_gbdt,True,fraction
classification,mode/linear_probe@0.2,accuracy,linear_probe,baseline:handcrafted_gbdt,0.7238805970149254,0.031661497665069344,0.6379664179104478,0.7985074626865671,,,,2,134,,True,fraction
classification,mode/linear_probe@0.2,accuracy,linear_probe,baseline:majority,0.5895522388059702,0.0,0.5074626865671642,0.6717350746268658,,,,2,134,,True,fraction
classification,mode/linear_probe@0.2,balanced_accuracy,linear_probe,KinematicRef,0.625919929349426,0.062488506244392616,0.4804491586553872,0.8383687232905983,0.1326226439453843,-0.2503025949887492,0.3928832680564735,2,134,handcrafted_gbdt,True,fraction
classification,mode/linear_probe@0.2,balanced_accuracy,linear_probe,baseline:handcrafted_gbdt,0.569395790403297,0.009226525780422016,0.48907867358120977,0.8032030790119122,,,,2,134,,True,fraction
classification,mode/linear_probe@0.2,balanced_accuracy,linear_probe,baseline:majority,0.25,0.0,0.25,0.3333333333333333,,,,2,134,,True,fraction
classification,mode/linear_probe@0.2,cls_nll,linear_probe,KinematicRef,0.6290958947355326,0.0067614744874082726,0.49889094246978605,0.7815816745087021,1.1754741619581137,0.6761022980826317,1.7811461057036309,2,134,handcrafted_gbdt,False,nats
classification,mode/linear_probe@0.2,cls_nll,linear_probe,baseline:handcrafted_gbdt,1.8045700566936462,0.008113686489962512,1.2425808696199367,2.4813936776481893,,,,2,134,,False,nats
classification,mode/linear_probe@0.2,cls_nll,linear_probe,baseline:majority,0.9459792333946235,0.0,0.8553644017578861,1.0420598173243287,,,,2,134,,False,nats
classification,mode/linear_probe@0.2,ece,linear_probe,KinematicRef,0.08701357487226968,0.009243325501835011,0.05870215848324992,0.17798742800720385,0.6230493876577929,0.2765943428820713,0.7397425466563774,2,134,handcrafted_gbdt,False,fraction
classification,mode/linear_probe@0.2,ece,linear_probe,baseline:handcrafted_gbdt,0.2326720626176021,0.04396188092531876,0.1707072854113429,0.3178302947796398,,,,2,134,,False,fraction
classification,mode/linear_probe@0.2,ece,linear_probe,baseline:majority,0.0632442557433639,0.0,0.003915208859175505,0.14542709156425945,,,,2,134,,False,fraction
classification,mode/linear_probe@0.2,macro_f1,linear_probe,KinematicRef,0.6371102115891942,0.08779963767212849,0.4681795102367585,0.8127952144153501,0.1794029460366374,-0.319793241423055,0.4036048397555648,2,134,handcrafted_gbdt,True,fraction
classification,mode/linear_probe@0.2,macro_f1,linear_probe,baseline:handcrafted_gbdt,0.5604032398807708,0.03004755690128111,0.48286324682688253,0.7881801353996276,,,,2,134,,True,fraction
classification,mode/linear_probe@0.2,macro_f1,linear_probe,baseline:majority,0.18544600938967137,0.0,0.1683087027914614,0.2560066984904215,,,,2,134,,True,fraction
classification,mode/linear_probe@1,accuracy,linear_probe,KinematicRef,0.7388059701492538,,0.6565298507462687,0.8059701492537313,-0.16666666666666666,-0.6006250000000003,0.1430735930735935,1,134,handcrafted_gbdt,True,fraction
classification,mode/linear_probe@1,accuracy,linear_probe,baseline:handcrafted_gbdt,0.7761194029850746,,0.7014925373134329,0.8507462686567164,,,,1,134,,True,fraction
classification,mode/linear_probe@1,accuracy,linear_probe,baseline:majority,0.5895522388059702,,0.5,0.6718283582089554,,,,1,134,,True,fraction
classification,mode/linear_probe@1,balanced_accuracy,linear_probe,KinematicRef,0.5839932293199882,,0.5050081973820738,0.8200316350316351,-0.004674392151286935,-0.26510552508958196,0.1354859532824619,1,134,handcrafted_gbdt,True,fraction
classification,mode/linear_probe@1,balanced_accuracy,linear_probe,baseline:handcrafted_gbdt,0.5859287606711805,,0.5056045422201139,0.8497782701948755,,,,1,134,,True,fraction
classification,mode/linear_probe@1,balanced_accuracy,linear_probe,baseline:majority,0.25,,0.25,0.3333333333333333,,,,1,134,,True,fraction
classification,mode/linear_probe@1,cls_nll,linear_probe,KinematicRef,0.5900306547197843,,0.48053148516477623,0.7063262722056635,0.7662185314394104,0.28531381274960027,1.264048276189627,1,134,handcrafted_gbdt,False,nats
classification,mode/linear_probe@1,cls_nll,linear_probe,baseline:handcrafted_gbdt,1.3562491861591948,,0.8764202679830302,1.9408798012577573,,,,1,134,,False,nats
classification,mode/linear_probe@1,cls_nll,linear_probe,baseline:majority,0.9423935713703745,,0.8488781210505085,1.0284773489211385,,,,1,134,,False,nats
classification,mode/linear_probe@1,ece,linear_probe,KinematicRef,0.0664411401696931,,0.05607926306065044,0.15961559517352106,0.6353684095735532,0.05944808259493317,0.7241482202830026,1,134,handcrafted_gbdt,False,fraction
classification,mode/linear_probe@1,ece,linear_probe,baseline:handcrafted_gbdt,0.18221443756968053,,0.12530959991594498,0.26534784536759193,,,,1,134,,False,fraction
classification,mode/linear_probe@1,ece,linear_probe,baseline:majority,0.061161133854598315,,0.005889460151564518,0.14343725325758344,,,,1,134,,False,fraction
classification,mode/linear_probe@1,macro_f1,linear_probe,KinematicRef,0.5578704154416299,,0.46187036593074515,0.7857189407163832,-0.08282817516118879,-0.5593026775017029,0.09620439425970805,1,134,handcrafted_gbdt,True,fraction
classification,mode/linear_probe@1,macro_f1,linear_probe,baseline:handcrafted_gbdt,0.5916899885870118,,0.50306952955581,0.8497567885162257,,,,1,134,,True,fraction
classification,mode/linear_probe@1,macro_f1,linear_probe,baseline:majority,0.18544600938967137,,0.16666666666666666,0.2550395298693612,,,,1,134,,True,fraction
classification,mode/native@0.2,accuracy,native,WeakRef,0.6194029850746269,0.0,0.5297574626865671,0.7091417910447763,-0.3875000000000002,-0.8192089582714583,-0.06378205128205122,2,134,handcrafted_gbdt,True,fraction
classification,mode/native@0.2,accuracy,native,baseline:handcrafted_gbdt,0.7238805970149254,0.031661497665069344,0.6379664179104478,0.7985074626865671,,,,2,134,,True,fraction
classification,mode/native@0.2,accuracy,native,baseline:majority,0.5895522388059702,0.0,0.5074626865671642,0.6717350746268658,,,,2,134,,True,fraction
classification,mode/native@0.2,balanced_accuracy,native,WeakRef,0.7690830144244922,0.0,0.6550918498281304,0.8314467588765122,0.46361414698982595,-0.4287667242811006,0.586585492931399,2,134,handcrafted_gbdt,True,fraction
classification,mode/native@0.2,balanced_accuracy,native,baseline:handcrafted_gbdt,0.569395790403297,0.009226525780422016,0.48907867358120977,0.8032030790119122,,,,2,134,,True,fraction
classification,mode/native@0.2,balanced_accuracy,native,baseline:majority,0.25,0.0,0.25,0.3333333333333333,,,,2,134,,True,fraction
classification,mode/native@0.2,cls_nll,native,WeakRef,0.9060075242299265,0.0,0.8114500582032567,1.0121719388906043,0.8985625324637199,0.34347393682647065,1.5255286000129438,2,134,handcrafted_gbdt,False,nats
classification,mode/native@0.2,cls_nll,native,baseline:handcrafted_gbdt,1.8045700566936462,0.008113686489962512,1.2425808696199367,2.4813936776481893,,,,2,134,,False,nats
classification,mode/native@0.2,cls_nll,native,baseline:majority,0.9459792333946235,0.0,0.8553644017578861,1.0420598173243287,,,,2,134,,False,nats
classification,mode/native@0.2,ece,native,WeakRef,0.11356289867565247,0.0,0.06238230425248159,0.19665624415758837,0.5030481258606452,0.07420019900969999,0.7421039054672649,2,134,handcrafted_gbdt,False,fraction
classification,mode/native@0.2,ece,native,baseline:handcrafted_gbdt,0.2326720626176021,0.04396188092531876,0.1707072854113429,0.3178302947796398,,,,2,134,,False,fraction
classification,mode/native@0.2,ece,native,baseline:majority,0.0632442557433639,0.0,0.003915208859175505,0.14542709156425945,,,,2,134,,False,fraction
classification,mode/native@0.2,macro_f1,native,WeakRef,0.5289229666458235,0.0,0.4290356335646549,0.68708898277887,-0.07412088852423902,-0.6595174396124106,0.15380481597644519,2,134,handcrafted_gbdt,True,fraction
